index,title,description,location,country,currency,price,durationInDays,imagesURL,siteURL,rating,dateOfScrape
0,Lion Safari Park and Lesedi Cultural Village Tour,"This tour package near Johannesburg includes a guided tour of Lesedi Cultural Village showcasing five South African cultural groups, traditional lunch, song and dance performance, and a visit to Lion & Safari Park for a mini safari guided by a ranger in a malaria-free zone.","South Africa, Johannesburg",South Africa,ZAR,"2,995",1,"['https://moafrikatours.com/wp-content/uploads/2025/02/9bcc6ed4-4039-4383-84f4-9cdf1dec8342-1024x684-1-768x513.webp', 'https://moafrikatours.com/wp-content/uploads/2025/02/1-Hour-Guided-Safari.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/02/L870-3-1721718148631237.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/02/2-Hour-Guided-Tour-570x570-1.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/02/9bcc6ed4-4039-4383-84f4-9cdf1dec8342-1024x684-1.webp', 'https://moafrikatours.com/wp-content/uploads/2025/02/1-Hour-Guided-Safari.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/02/L870-3-1721718148631237.jpg']",https://moafrikatours.com/south-africa/johannesburg/tours/1-day/lion-safari-park-and-lesedi-cultural-village-tour/,,20250210_151702
1,5 Day Sanbona Luxury Dwyka Tented Lodge,"Dwyka Tented Lodge in Sanbona Wildlife Reserve offers luxurious, eco-friendly accommodation in a secluded horseshoe bend of a dry Karoo ravine. Each of the nine spacious tents features an en-suite bathroom, outdoor shower, private deck with a heated plunge pool, and modern amenities like air conditioning, a private minibar, and Wi-Fi. Guests can unwind in the stylish lounge, dine under the stars in the boma, or enjoy treatments at the Relaxation Retreat. The lodge combines comfort with a romantic wilderness setting, providing an unforgettable safari experience.","South Africa, Cape Town",South Africa,ZAR,"69,320",5,"['https://moafrikatours.com/wp-content/uploads/2025/02/tented3-768x639.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5ip_6691_Ullu1yZ-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/6image-768x772.webp', 'https://moafrikatours.com/wp-content/uploads/2025/02/sanbona-dwyka-tented-lodge-ultimate-honeymoon-destination-1.webp', 'https://moafrikatours.com/wp-content/uploads/2025/02/tented3.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5ip_6691_Ullu1yZ-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/6image.webp']",https://moafrikatours.com/south-africa/karoo/tours/5-day/5-day-sanbona-luxury-dwyka-tented-lodge/,,20250210_151708
2,4 Day Sanbona Luxury Dwyka Tented Lodge,"Experience the serene wilderness of Sanbona Wildlife Reserve during a 4-day safari at the Dwyka Tented Camp. Nestled in a secluded horseshoe bend, this luxurious camp blends seamlessly into the rugged beauty of the Little Karoo. Sanbona, one of South Africa’s largest private reserves, offers a conservation-focused safari where you can encounter diverse wildlife, explore ancient San rock art, and admire unique flora. Just 3.5 hours from Cape Town, the malaria-free reserve promises a tranquil escape filled with unforgettable game drives, scenic vistas, and the charm of the Western Cape’s natural heritage.","South Africa, Cape Town",South Africa,ZAR,"53,150",4,"['https://moafrikatours.com/wp-content/uploads/2025/02/tented1-768x772.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/6image-768x772.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5ip_6691_Ullu1yZ-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/02/sanbona-dwyka-tented-lodge-ultimate-honeymoon-destination-1.webp', 'https://moafrikatours.com/wp-content/uploads/2025/02/tented1.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/6image.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5ip_6691_Ullu1yZ-1024x683.jpg']",https://moafrikatours.com/https/moafrikatourscom/south-africa/karoo/tours/4-day/4-day-sanbona-luxury-dwyka-tented-lodge/,,20250210_151713
3,3 Day Sanbona Luxury Dwyka Tented Lodge,"Dwyka Tented Lodge in Sanbona Wildlife Reserve offers luxurious, eco-friendly accommodation in a secluded horseshoe bend of a dry Karoo ravine. Each of the nine spacious tents features an en-suite bathroom, outdoor shower, private deck with a heated plunge pool, and modern amenities like air conditioning, a private minibar, and Wi-Fi. Guests can unwind in the stylish lounge, dine under the stars in the boma, or enjoy treatments at the Relaxation Retreat. The lodge combines comfort with a romantic wilderness setting, providing an unforgettable safari experience.","South Africa, Cape Town",South Africa,ZAR,"36,970",3,"['https://moafrikatours.com/wp-content/uploads/2025/02/sanbona-dwyka-tented-lodge-ultimate-honeymoon-destination-1.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5ip_6691_Ullu1yZ-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/02/tented2-768x772.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/7image-768x772.webp', 'https://moafrikatours.com/wp-content/uploads/2025/02/sanbona-dwyka-tented-lodge-ultimate-honeymoon-destination-1.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5ip_6691_Ullu1yZ-1024x683.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/02/tented2.webp']",https://moafrikatours.com/south-africa/karoo/tours/3-day/3-day-sanbona-luxury-dwyka-tented-lodge/,,20250210_151718
4,5 Day Sanbona Luxury Tilney Manor Tour,"Enjoy a peaceful 5-day safari at Tilney Manor in the heart of Sanbona Wildlife Reserve. Surrounded by the rugged beauty of the Little Karoo, this historical manor offers magnificent views of undulating mountains and endless plains. With only six open-plan suites featuring private verandas, guests can indulge in secluded luxury while exploring the reserve’s diverse wildlife and ancient San rock art. Relax with authentic Karoo cuisine, unwind by the rim flow pool, or rejuvenate at the spa with a steam room and sauna, all set within a  conservation-driven wilderness just 3.5 hours from Cape Town. It’s the  closest true wildlife experience you can find near Cape Town, offering an exclusive and unique malaria-free safari.","South Africa, Cape Town",South Africa,ZAR,"66,375",5,"['https://moafrikatours.com/wp-content/uploads/2025/01/image3-768x772.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5image.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5ip_6691_Ullu1yZ-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/6image-768x772.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/image3.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5image.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5ip_6691_Ullu1yZ-1024x683.jpg']",https://moafrikatours.com/south-africa/karoo/tours/5-day/5-day-sanbona-luxury-tilney-manor-tour/,,20250210_151724
5,4 Day Sanbona Luxury Tilney Manor Tour,"Enjoy a peaceful 4-day safari at Tilney Manor in the heart of Sanbona Wildlife Reserve. Surrounded by the rugged beauty of the Little Karoo, this historical manor offers magnificent views of undulating mountains and endless plains. With only six open-plan suites featuring private verandas, guests can indulge in secluded luxury while exploring the reserve’s diverse wildlife and ancient San rock art. Relax with authentic Karoo cuisine, unwind by the rim flow pool, or rejuvenate at the spa with a steam room and sauna, all set within a conservation-driven wilderness just 3.5 hours from Cape Town. It’s the  closest true wildlife experience you can find near Cape Town, offering an exclusive and unique malaria-free safari.","South Africa, Cape Town",South Africa,ZAR,"50,935",4,"['https://moafrikatours.com/wp-content/uploads/2025/01/image3-768x772.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/7image-768x772.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5ip_6691_Ullu1yZ-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/gallery-20-362-tilney_manor_room_interior_2016_option-web-768x531.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/image3.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/7image.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5ip_6691_Ullu1yZ-1024x683.jpg']",https://moafrikatours.com/south-africa/karoo/tours/4-day/4-day-sanbona-luxury-tilney-manor-tour/,,20250210_151729
6,3 Day Sanbona Luxury Tilney Manor Tour,"Enjoy a peaceful 3-day safari at Tilney Manor in the heart of Sanbona Wildlife Reserve. Surrounded by the rugged beauty of the Little Karoo, this historical manor offers magnificent views of undulating mountains and endless plains. With only six open-plan suites featuring private verandas, guests can indulge in secluded luxury while exploring the reserve’s diverse wildlife and ancient San rock art. Relax with authentic Karoo cuisine, unwind by the rim flow pool, or rejuvenate at the spa with a steam room and sauna, all set within a conservation-driven wilderness just 3.5 hours from Cape Town. It’s the  closest true wildlife experience you can find near Cape Town, offering an exclusive and unique malaria-free safari.","South Africa, Cape Town",South Africa,ZAR,"35,500",3,"['https://moafrikatours.com/wp-content/uploads/2025/01/6image-768x772.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/image-768x639.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5ip_6691_Ullu1yZ-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/7image-768x772.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/6image.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/image.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/5ip_6691_Ullu1yZ-1024x683.jpg']",https://moafrikatours.com/south-africa/karoo/tours/3-day/3-day-sanbona-luxury-tilney-manor-tour/,,20250210_151735
7,3 Day Coast Safari Tour,"Experience the stunning beauty and serenity of the Garden Route while seizing the opportunity to encounter South Africa’s renowned Big 5 on a scenic safari tour. Journey from the southernmost tip of Africa to the oldest privately-owned game reserve in the Cape, and understand why the Garden Route is a favorite among tourists. Enjoy game drives in an open safari vehicle led by a knowledgeable ranger.","South Africa, Cape Town, Garden Route",South Africa,ZAR,"10,520",3,"['https://moafrikatours.com/wp-content/uploads/2025/01/lodgebanner2-768x341.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/route-62-south-africa-768x508.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/850_6311-scaled-1-768x512.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/wine-tasting-marche-italy--768x528.webp', 'https://moafrikatours.com/wp-content/uploads/2025/01/lodgebanner2-1024x455.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/route-62-south-africa-1024x677.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/850_6311-scaled-1-1024x682.jpg']",https://moafrikatours.com/south-africa/garden-route/tours/3-day/3-day-coast-safari-tour/,,20250210_151740
8,5 Day Luxury Sabi Sands Tengile River Lodge,"Sabi Sands Tengile River Lodge offers a truly luxurious escape, with its suites designed for ultimate comfort and relaxation. Each suite features a private deck and plunge pool, providing an intimate connection to the stunning natural surroundings along the Sand River.","South Africa, Sabi Sands",South Africa,ZAR,"189,630",5,"['https://moafrikatours.com/wp-content/uploads/2025/01/bathtub-overlooking-sand-river-at-andbeyond-tengile-768x432-1.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/guest-lounge-area-at-andbeyond-tengile-in-south-africa-768x432-1.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/guest-suite-at-andbeyond-tengile-overlooking-sand-river-768x432-1.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/Image-12-4-768x432-1.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/bathtub-overlooking-sand-river-at-andbeyond-tengile-768x432-1.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/guest-lounge-area-at-andbeyond-tengile-in-south-africa-768x432-1.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/guest-suite-at-andbeyond-tengile-overlooking-sand-river-768x432-1.jpg']",https://moafrikatours.com/south-africa/greater-kruger/sabi-sands-game-reserve/safaris/5-day/5-day-luxury-sabi-sands-tengile-river-lodge/,,20250210_151746
9,4 Day Luxury Sabi Sands Tengile River Lodge,"Welcome to Tengile River Lodge, a breath-taking sanctuary in Sabie Sands Game Reserve. This luxurious lodge offers an exceptional African wilderness experience, blending comfort and adventure amidst stunning scenery.","South Africa, Sabi Sands",South Africa,ZAR,"498,655",4,"['https://moafrikatours.com/wp-content/uploads/2025/01/tengile-river-lodge-river-view-from-suite-768x432-1.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/Sabi-Sand-Destination-Brochure-Tengile-game-drive-with-leopard-1536x864-1-768x432.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/bathtub-overlooking-sand-river-at-andbeyond-tengile-768x432-1.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/guest-lounge-area-at-andbeyond-tengile-in-south-africa-768x432-1.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/tengile-river-lodge-river-view-from-suite-768x432-1.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/Sabi-Sand-Destination-Brochure-Tengile-game-drive-with-leopard-1536x864-1-1024x576.jpg', 'https://moafrikatours.com/wp-content/uploads/2025/01/bathtub-overlooking-sand-river-at-andbeyond-tengile-768x432-1.jpg']",https://moafrikatours.com/south-africa/greater-kruger/sabi-sands-game-reserve/safaris/4-day/4-day-luxury-sabi-sands-tengile-river-lodge/,,20250210_151751
